"English STEM Instructional Sentence (Input X)", "Expert Tonal Translation & Morphology (Ground Truth Y)"
"Crop protection involves the use of barriers and chemicals.", "Ìdáàbò-bò irúgbìn ní nǹkan ṣe pẹ̀lú lílo ìdènà àti kẹ́míkà.",
"An atom consists of a nucleus and orbiting electrons.", "Átọ́mù ní niúkíléọ̀sì àti àwọn ẹ̀lékítírírónì tí ó ń yí i ká.",
"The sine of an angle is the opposite side divided by the hypotenuse.", "Sáìnì igun ni ẹ̀gbẹ́ tí ó kọjú sí igun tí a pín pẹ̀lú ìtẹ̀wọ̀n-igun-ọ̀tún.",
"Chemical formulas represent the composition of substances.", "Àmì-kẹ́míkà ń ṣàpèjúwe àdàpọ̀ àwọn nǹkan.",
"Weed competition reduces sunlight available to crops.", "Ìdíje ìyọko ń dín ìmọ́lẹ̀ oòrùn tí ó wà fún irúgbìn kù.",
"Potential difference is the drive for electric current.", "Ìyàtọ̀ agbára ni ohun tí ń fa ṣíṣàn ẹ̀lékítíríkì.",
"Energy transformation follows the law of conservation of energy.", "Ìyípadà agbára ń tẹ̀lé òfin ìtọ́jú agbára."
"The quadratic formula calculates roots of equations.", "Fọ́ọ̀múlù kwádírátì ń ṣirò gbòngbò àwọn ìṣirò.",
"Thermal energy is transferred by conduction, convection, and radiation.", "Agbára ooru ń kọjá nípasẹ̀ ìdarí, ìṣàn, àti Ìtànṣán.",
"Sandy soil has poor water retention compared to clay.", "Ìlẹ̀-iyanrìn kò gba omi mọ́ra bí ìlẹ̀-amọ̀.",
"The cell nucleus contains the genetic material.", "Niúkíléọ̀sì sẹ́ẹ̀lì ní nǹkan ìjogún nínú.",
"Ionic bonds involve the transfer of electrons between atoms.", "Ìdè áónììkì ní mímú ẹ̀lékítírónì kọjá láàárín àwọn átọ́mù.",
"Electromagnetic waves do not require a medium to travel.", "Ìgbà-ìrìn ẹ̀lékítírómágíńtì kò nílò ohun tí ó ń gba kọjá.",
"Proper poultry management minimizes mortality rates.", "Ìṣàkóso ẹyẹ tí ó dára ń dín iye ẹran tí ń kú kù.",
"Meiosis results in cells with half the number of chromosomes.", "Mẹ́íósì ń mú kí sẹ́ẹ̀lì ní ìdajì iye kírómósómù.",
"Trigonometric identities relate angles and side lengths.", "Ànímọ́ tírígónómẹ́tírì ń so igun àti ìwọ̀n ẹ̀gbẹ́ pọ̀.",
"Speed is a scalar quantity, while velocity is a vector.", "Ìyára jẹ́ ìwọ̀n sẹ́kálà, nígbà tí ìyára ìtọ́sọ́nà jẹ́ ìwọ̀n vẹ́kítọ̀.",
"Activation energy is required to start a chemical reaction.", "Agbára ìṣiṣẹ́ ṣe pàtàkì láti bẹ̀rẹ̀ ìṣiṣẹ́ kẹ́míkà.",
"Drip irrigation saves water in agricultural production.", "Ìtọ́jú-omi sọ́ọ̀kì-sọ́ọ̀kì ń fi omi pamọ́ nínú iṣẹ́-ògbìn.",
"The circulatory system transports nutrients throughout the body.", "Ètò ìṣàn ẹ̀jẹ̀ ń gbé oúnjẹ kọjá ara.",
"Geometry is used to determine shapes of land parcels.", "Ìṣírò-ààyè ni a ń lò láti mọ ìrísí ilẹ̀.",
"Heat transfer occurs from hotter to colder objects.", "Ìṣàn ooru ń ṣẹlẹ̀ láti ibi tí ó gbóná lọ sí ibi tí ó tutù.",
"Livestock production requires clean water and balanced feed.", "Ìṣiṣẹ́-ẹ̀ran-ọ̀sìn nílò omi mímọ́ àti oúnjẹ dídọ́gba.",
"Periodic trends include electronegativity and atomic radius.", "Àwọn ìtẹ̀lé tábìlì ń gba ẹ̀lékítírónì àti ìwọ̀n átọ́mù nímọ̀.",
"Homeostasis maintains a stable internal environment.", "Ìdúróṣinṣin-ara ń tọ́jú àyíká inú ara tí ó dúró ṣinṣin.",
"Variables are letters used to represent unknown quantities.", "Fẹ́ríábùlù ni àwọn lẹ́tà tí a ń lò láti dúró fún iye tí a kò mọ̀.",
"Gravitational potential energy depends on position above ground.", "Agbára ìpamọ́ òòfà ilẹ̀ ń bẹ lórí ìdúró lókè ilẹ̀."
"A polynomial is an expression with multiple algebraic terms.", "Pólínómíìlù ni ìṣirò tí ó ní ọ̀pọ̀ apá àlíjíbírà.",
"The Law of Reflection states that the angle of incidence equals the angle of reflection.", "Òfin ìtànṣán sọ pé igun ìwọlé dọ́gba pẹ̀lú igun ìtànṣán.",
"Soil compaction restricts root growth and nutrient absorption.", "Ìfúnni-ilẹ̀ ń dín bí gbòngbò yóò ṣe dàgbà àti bí ó ṣe yóò gba oúnjẹ kù.",
"A concave lens diverges light rays.", "Lẹ́nsì oníhò-inú ń ta ìmọ́lẹ̀ ká.",
"The genotype determines the potential traits of an organism.", "Jẹ́nótáìpù ń pinnu àwọn ànímọ́ tí ẹ̀dá alààyè lè ní.",
"Ionic compounds form a crystal lattice structure.", "Nǹkan áónììkì ń ṣe ìṣètò krístálì.",
"The ratio of circumference to diameter is Pi.", "Ìwọ̀n ìyípo síríkì lórí ìwọ̀n ìlà-àárín ni Pi.",
"Decomposers break down organic matter in the soil.", "Àwọn nǹkan-ìbàjẹ́ ń fọ́ ọ̀rọ̀-àdánidá tí ó wà nínú ilẹ̀.",
"An electric current produces a magnetic field.", "Kọ́ọ̀ǹtì ẹ̀lékítíríkì ń ṣẹ̀dá ààyè mágíńtì.",
"Livestock housing requires good ventilation to control temperature.", "Ilé-ẹ̀ran nílò afẹ́fẹ́ tó dára láti ṣàkóso ìwọ̀n ooru.",
"A triangle's area is half of its base times height.", "Ààyè tíríàngùlù ni ìdajì ìpìlẹ̀ pẹ̀lú gíga.",
"Chemical equilibrium is unaffected by catalysts.", "Ìdọ́gba kẹ́míkà kò ní nǹkan ṣe pẹ̀lú kátálísì.",
"The cell membrane controls the movement of substances.", "Mẹ́mírẹ̀nì sẹ́ẹ̀lì ń ṣàkóso rírìn àwọn nǹkan.",
"Crop pests can cause significant yield reduction.", "Kòkòrò-irúgbìn leè fa dídín ìkórè kù gan-an.",
"A scalar has magnitude but no direction.", "Sẹ́kálà ní ìwọ̀n ṣùgbọ́n kò ní ìtọ́sọ́nà.",
"Newton's first law defines inertia.", "Òfin kìíní Newton ń ṣàlàyé ìfọ̀rọ̀-sí-orí-dúró.",
"Endothermic reactions absorb heat from the surroundings.", "Ìṣiṣẹ́ kẹ́míkà tí ó ń gba ooru láti àyíká.",
"Animal production requires careful disease monitoring.", "Ìṣiṣẹ́-ẹ̀ran-ọ̀sìn nílò ìwòye àrùn tọkàn-tọkàn.",
"A tangent touches a circle at only one point.", "Tànjẹ́ǹtì ń fọwọ́ kan síríkì ní ibi kan péré.",
"The boiling point of a solvent changes with added solute.", "Ìwọ̀n tí omi ń hó ń yí padà bí a bá ṣàfikún nǹkan yíyọ́.",
"Velocity measures the speed and direction of an object.", "Ìyára ìtọ́sọ́nà ń wọ̀n ìyára àti ìtọ́sọ́nà nǹkan.",
"The Pythagorean theorem applies only to right-angled triangles.", "Òfin Pítágóòrù ń ṣiṣẹ́ fún tíríàngùlù oní-igun-ọ̀tún nìkan.",
"Electric power is the product of voltage and current.", "Agbára-iṣẹ́ ẹ̀lékítíríkì ni ìdapọ̀ wọ́ọ̀tájì àti kọ́ọ̀ǹtì.",
"Logarithms are used to solve exponential equations.", "Lógárììtù ni a ń lò láti ṣàwárí àwọn ìṣirò agbára.",
"Noble gases have a full valence shell.", "Gáàsì ọlọ́lá ní ìpele ẹ̀lékítírónì tí ó kún.",
"The endoplasmic reticulum transports proteins.", "Èndópíláàsìkì rètíkúlùmù ń gbé prótììnù kọjá.",
"Solubility increases with temperature for most solids.", "Ìyọ́ni ń pọ̀ sí i pẹ̀lú ìwọ̀n ooru fún ọ̀pọ̀ nǹkan líle.",
"Enzymes are protein molecules that catalyze reactions.", "Èńsaímù ni àwọn mólíkùlù prótììnù tí ó ń mú ìṣiṣẹ́ yára.",
"Crop production requires fertile soil and adequate rainfall.", "Iṣẹ́-ògbìn nílò ilẹ̀ ọlọ́ràá àti òjò tí ó tó.",
"The deep litter system involves bedding materials for poultry.", "Ètò-ìtọ́jú-sùn-ilẹ̀ ń lo àwọn ohun èèlò fún ìbùsùn ẹyẹ.",
"Vaccination provides immunity against diseases like Newcastle.", "Ìtẹ̀jú-àìsàn ń pèsè ìdáàbò-bò lọ́wọ́ àwọn àrùn bí Newcastle.",
"A balanced diet for livestock includes carbohydrates and proteins.", "Oúnjẹ dídọ́gba fún ẹran ní kábóhídírétì àti prótììnù nínú.",
"Force is a vector quantity measured in Newtons.", "Agbára jẹ́ ìwọ̀n vẹ́kítọ̀ tí a ń wọ̀n ní Nẹ́tọ̀nì.",
"A chemical change is irreversible.", "Ìyípadà kẹ́míkà jẹ́ èyí tí a kò leè yí padà.",
"Friction is useful for walking.", "Ìforí-gbárí ṣe pàtàkì fún rírìn.",
"Photosynthesis occurs primarily in leaves.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ ní pàtàkì nínú ewé.",
"The volume of a cube is side cubed.", "Ìwọ̀n ààyè kùúbù ni ẹ̀gbẹ́ lẹ́ẹ̀mẹ́ta.",
"A solution is a homogeneous mixture.", "Sọ́lúṣọ̀nù jẹ́ ìdàpọ̀ nǹkan tí ó jọra.",
"Genetic variation is essential for evolution.", "Ìyàtọ̀ jẹ́nétììkì ṣe pàtàkì fún ìdàgbàsókè ẹ̀dá.",
"Livestock management includes housing and healthcare.", "Ìṣàkóso ẹran-ọ̀sìn ní nǹkan ṣe pẹ̀lú ilé àti Ìtọ́jú-ìlera.",
"Atomic radius decreases across a period.", "Ìwọ̀n átọ́mù ń dín kù bí a bá ń kọjá nínú pẹ́ríọ̀dù.",
"Livestock health depends on proper nutrition.", "Ìlera ẹran-ọ̀sìn ń bẹ lórí oúnjẹ dídọ́gba.",
"The hypotenuse is the longest side of a right-angled triangle.", "Ìtẹ̀wọ̀n-igun-ọ̀tún ni ẹ̀gbẹ́ tí ó gùn jù nínú tíríàngùlù.",
"Enzymes act as biological catalysts.", "Èńsaímù ń ṣiṣẹ́ gẹ́gẹ́ bí kátálísì ẹ̀dá.",
"Crop yield can be increased by using certified seeds.", "Ìkórè irúgbìn leè pọ̀ sí i nípasẹ̀ lílo irúgbìn tí a fọwọ́ sí.",
"Displacement is a change in position.", "Ìfipò ni àyípadà ibi tí nǹkan wà.",
"Acids turn blue litmus paper red.", "Ásìdì ń sọ ẹ̀wé lítímọ̀sì ọ̀sán dípò pupa.",
"Vaccines create immunity against specific pathogens.", "Ìtẹ̀jú-àìsàn ń ṣẹ̀dá ìdáàbò-bò lọ́wọ́ àwọn kòkòrò àìsàn.",
"The cell is the structural unit of life.", "Sẹ́ẹ̀lì ni ìpìlẹ̀ ẹ̀dá alààyè.",
"A triangle is a three-sided polygon.", "Tíríàngùlù ni pólígọ̀nù oní-ẹ̀gbẹ́-mẹ́ta.",
"Chemical bonds store potential energy.", "Ìdè kẹ́míkà ń tọ́jú agbára ìpamọ́.",
"Photosynthesis requires carbon dioxide, water, and sunlight.", "Ìṣiṣẹ́-oòrùn-sínú-ewé nílò kábọ̀nì dáyọ́ọ́ìdì, omi, àti ìmọ́lẹ̀ oòrùn.",
"Soil aeration prevents root suffocation.", "Afẹ́fẹ́ nínú ilẹ̀ ń dènà ìrẹ́wẹ̀sì gbòngbò.",
"Electric current is measured in Amperes.", "Kọ́ọ̀ǹtì ẹ̀lékítírírìkì ni a ń wọ̀n ní Ámpẹ̀ẹ́.",
"The center of mass is the balancing point of an object.", "Ibùdó ìwọ̀n ara ni ibi tí nǹkan ti ń dọ́gba.",
"Genes carry hereditary information in organisms.", "Jíìnì ń gbé ìsọfúnni ìjogún nínú ẹ̀dá alààyè.",
"Pests destroy standing crops in the field.", "Kòkòrò-irúgbìn ń ba irúgbìn tí ó wà lórí oko jẹ́.",
"Standard form is used for very large or small numbers.", "Ìlànà ìkọ̀wé-ọ̀nà-ìwọ̀n ni a ń lò fún àwọn nọ́mbà ńlá tàbí kéékèèké.",
"Water boils at one hundred degrees Celsius.", "Omi ń hó ní ìwọ̀n ọgọ́rùn-ún díírì Sẹ́lṣíọ̀sì.",
"Animal waste can be composted for organic manure.", "Ààtàn ẹran leè jẹ́ lílò fún ààtàn-ọ̀rọ̀.",
"The speed of light in a vacuum is constant.", "Ìyára ìmọ́lẹ̀ nínú òfo kì í yí padà.",
"Crop rotation improves soil nutrient content.", "Ìyípadà-irúgbìn ń mú kí oúnjẹ ilẹ̀ pọ̀ sí i.",
"A quadrilateral has four sides and four vertices.", "Kwadrílatẹ́ràlù ní ẹ̀gbẹ́ mẹ́rin àti igun mẹ́rin.",
"A catalyst accelerates a chemical reaction without being consumed.", "Kátálísì ń mú kí ìṣiṣẹ́ kẹ́míkà yára láì jẹ́ pé ó ń parun.",
"Mitochondria are the powerhouses of the cell.", "Mítókóndíríà ni ibùdó agbára sẹ́ẹ̀lì.",
"Livestock housing requires good ventilation.", "Ilé-ẹ̀ran nílò afẹ́fẹ́ tó dára.",
"Force equals mass times acceleration.", "Agbára dọ́gba pẹ̀lú ìwọ̀n ara tísì ìyára kánkán.",
"The slope of a line represents the rate of change.", "Ìtẹ̀wọ̀n ìlà ń dúró fún oṣùwọ̀n àyípadà.",
"A solution is a mixture of solute and solvent.", "Sọ́lúṣọ̀nù jẹ́ ìdàpọ̀ nǹkan tí a yọ́ àti omi tí ó yọ́ ọ.",
"The cell wall provides rigid support to plants.", "Ògiri sẹ́ẹ̀lì ń pèsè ìrànlọ́wọ́ líle fún ewéko.",
"Pesticides are used to control farm insects.", "Oògùn-kòkòrò ni a ń lò láti ṣàkóso kòkòrò oko.",
"Potential energy is energy stored in an object.", "Agbára ìpamọ́ ni agbára tí ó wà nínú nǹkan.",
"An integer is a whole number that can be positive or negative.", "Nọ́mbà ódì ni nọ́mbà gbogbo tí ó leè jẹ́ dídára tàbí òdì.",
"The periodic table organizes elements by their properties.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣètò àwọn ẹ̀yà kẹ́míkà nípasẹ̀ ànímọ́ wọn.",
"The nucleus contains the genetic material of the cell.", "Niúkíléọ̀sì ní nǹkan ìjogún sẹ́ẹ̀lì nínú.",
"Irrigation ensures crops grow during the dry season.", "Ìtọ́jú-omi ń mú kí irúgbìn dàgbà ní ẹ̀ẹ̀rùn.",
"Refraction is the bending of light as it enters a new medium.", "Ìyípadà-ọ̀nà ìmọ́lẹ̀ ń ṣẹlẹ̀ nígbà tí ìmọ́lẹ̀ bá wọ inú nǹkan tuntun.",
"A variable represents an unknown value in an equation.", "Fẹ́ríábùlù ń dúró fún iye tí a kò mọ̀ nínú ìṣirò.",
"An atom is the smallest unit of an element.", "Átọ́mù ni apá nǹkan tí ó kéré jù nínú ẹ̀yà kẹ́míkà.",
"Respiration releases energy from glucose.", "Ìmí-kúrò ń tú agbára láti inú gúlúkóòsì.",
"Newton's laws of motion are fundamental to mechanics.", "Òfin Newton nípa ìrìn jẹ́ ìpìlẹ̀ fún mẹ̀kánììkì.",
"The atomic mass of Carbon is approximately 12.", "Ìwọ̀n ara kábọ̀nì jẹ́ nǹkan bí 12.",
"Mitosis results in two identical daughter cells.", "Mítósì ń mú sẹ́ẹ̀lì ọmọ méjì tí ó jọra wá.",
"Mulching helps retain soil moisture in hot weather.", "Ìyọ̀rò-ilẹ̀ ń ràn wá lọ́wọ́ láti tọ́jú ọ̀rinrin ilẹ̀ ní ojú-ọjọ́ gbígbóná.",
"A set is a collection of distinct objects.", "Sẹ́ẹ̀tì jẹ́ àkójọpọ̀ àwọn nǹkan tí ó yàtọ̀ síra.",
"Current is the flow of electric charges.", "Kọ́ọ̀ǹtì ni ṣíṣàn àwọn ẹ̀sùn ẹ̀lékítíríkì.",
"Isotopes have different numbers of neutrons.", "Ísótópù ní iye niútrónì tí ó yàtọ̀.",
"Xylem conducts water from roots to leaves.", "Ksaílẹ̀mù ń gbé omi láti gbòngbò lọ sí ewé.",
"Herbicides are chemicals used to kill weeds.", "Oògùn-ìyọko ni àwọn kẹ́míkà tí a ń lò láti pa ewéko.",
"A square root is a value that multiplied by itself gives the original number.", "Gbòngbò-ìṣirò ni iye tí a fi ara rẹ̀ sọ́pọ̀ tí ó ń fún ni ní nọ́mbà àkọ́kọ́.",
"Sound travels slower than light.", "Ìró ń rìn lọ́ra ju ìmọ́lẹ̀ lọ.",
"A base neutralizes an acid.", "Béesì ń mú kí ásìdì ṣẹlẹ̀ ní dọ́gba.",
"DNA carries genetic instructions for development.", "DNA ń gbé àwọn ìlànà jẹ́nétììkì fún ìdàgbàsókè.",
"Poultry require balanced feed for egg production.", "Àwọn ẹyẹ-ọ̀sìn nílò oúnjẹ dídọ́gba fún bíbọ́ ẹyin.",
"An acute angle is less than 90 degrees.", "Igun tí ó kéré ju 90 díírì lọ.",
"Friction can be reduced by lubrication.", "Ìforí-gbárí leè dín kù nípasẹ̀ lílo òróró.",
"Solutes dissolve in solvents to form solutions.", "Nǹkan tí a yọ́ ń yọ́ nínú omi láti di sọ́lúṣọ̀nù.",
"Stomata allow the plant to breathe.", "Sítómà ń jẹ́ kí ewéko lè mímí.",
"Crop diseases spread quickly in crowded farms.", "Àrùn irúgbìn ń tàn kálẹ̀ kíákíá nínú oko tí ó pọ̀ jù.",
"Pi is the ratio of circumference to diameter.", "Pi ni ìwọ̀n ìyípo síríkì lórí ìlà-àárín rẹ̀."
"The hypotenuse is the side opposite the right angle.", "Ìtẹ̀wọ̀n-igun-ọ̀tún ni ẹ̀gbẹ́ tí ó kọjú sí igun ọ̀tún.",
"Chemical equilibrium occurs in reversible reactions.", "Ìdọ́gba kẹ́míkà ń ṣẹlẹ̀ nínú ìṣiṣẹ́ tí a leè yí padà.",
"Minerals are essential for healthy livestock growth.", "Àwọn nǹkan-ìṣẹ̀dá ṣe pàtàkì fún ìdàgbàsókè ẹran.",
"Gas particles move in constant random motion.", "Àwọn apá nǹkan gáàsì ń rìn nínú ìrìn àìdúró-ṣinṣin.",
"A polygon with six sides is a hexagon.", "Pólígọ̀nù tí ó ní ẹ̀gbẹ́ mẹ́fà ni hẹ́kságọ̀nù.",
"Transpiration is the loss of water from plant leaves.", "Ìyọ́-omi-lọ́wọ́-ewé ni ìpàdánù omi láti ara ewé ewéko.",
"Force is proportional to mass and acceleration.", "Agbára dọ́gba pẹ̀lú ìwọ̀n ara tísì ìyára kánkán.",
"Redox reactions involve the transfer of electrons.", "Ìṣiṣẹ́ rédọ́ọ̀kì ní mímú ẹ̀lékítírónì kọjá.",
"Soil conservation prevents the loss of topsoil.", "Ìtọ́jú-ilẹ̀ ń dènà ìpàdánù ilẹ̀ ọlọ́ràá.",
"Longitudinal waves oscillate parallel to the direction of travel.", "Ìgbà-ìrìn lóngítúdínà ń yípadà títọ́ sí ìtọ́sọ́nà ìrìn.",
"Punnett squares predict genetic outcomes of breeding.", "Kwẹ́ẹ́rì Pùnnéttì ń sọ àwọn àbájáde jẹ́nétììkì ìbímọ.",
"Herbicides must be applied at the right growth stage.", "Oògùn-ìyọko gbọ́dọ̀ jẹ́ lílò ní àkókò ìdàgbàsókè tó tọ́.",
"The atomic mass includes protons and neutrons.", "Ìwọ̀n ara átọ́mù ní pùrótónì àti niútrónì nínú.",
"The area of a circle is pi times radius squared.", "Ààyè síríkì ni pi tísì ìwọ̀n-ẹ̀gbẹ́-sí-àárín láìjẹ́ méjì.",
"Power is measured in Watts.", "Agbára-iṣẹ́ ni a ń wọ̀n ní Wáàtì.",
"Lysosomes contain enzymes for breaking down waste.", "Láìsósómù ní èńsaímù fún fífọ́ àwọn nǹkan-ìdọ̀tí.",
"Potassium is highly reactive in the periodic table.", "Pótáṣììùmù ń ṣiṣẹ́ kíákíá nínú tábìlì ìtẹ̀lé-ìwọ̀n.",
"Conduction transfers heat through direct contact.", "Ìdarí ń gbé ooru kọjá nípasẹ̀ fífi ọwọ́ kan ara wọn.",
"Hygiene is vital for preventing livestock diseases.", "Ìmọ́tótó ṣe pàtàkì fún dídènà àrùn ẹran.",
"Algebra allows us to find unknown values.", "Àlíjíbírà ń jẹ́ kí a mọ iye tí a kò mọ̀."
"Density is mass per unit volume.", "Ìwọ̀n-ìdìpọ̀ ni ìwọ̀n ara fún ìwọ̀n ààyè kan.",
"Oxygen is a byproduct of photosynthesis.", "Ọ̀sìgíìì ni èrè tí ó ń yọ jáde nínú ìṣiṣẹ́-oòrùn-sínú-ewé.",
"NPK fertilizers contain Nitrogen, Phosphorus, and Potassium.", "Ààtàn NPK ní Náìtróójẹ̀nì, Fọ́sífọ́rọ̀sì, àti Pótáṣììùmù nínú.",
"Substitution is a method to solve equations.", "Ìdípò ni ọ̀nà tí a ń lò láti mọ ìṣirò.",
"Valency determines how elements combine.", "Fẹ́lẹ́nsì ń pinnu bí àwọn ẹ̀yà kẹ́míkà yóò ṣe ṣọ̀kan.",
"Convection involves heat transfer in fluids.", "Ìṣàn-ooru ń gbé ooru kọjá nínú omi tàbí gáàsì.",
"Terracing prevents soil erosion on slopes.", "Ìpèpẹ́-ilẹ̀ ń dènà ìṣàgbà-ilẹ̀ lórí òkè.",
"Ribosomes are responsible for protein production.", "Ríbósómù ń ṣiṣẹ́ láti ṣe prótììnù.",
"Indicators show if a substance is acidic or basic.", "Àmì ń fi hàn bí nǹkan bá jẹ́ ásìdì tàbí béesì.",
"Pythagoras theorem relates the three sides of a right triangle.", "Òfin Pítágóòrù ń so ẹ̀gbẹ́ mẹ́ta tíríàngùlù oní-igun-ọ̀tún pọ̀.",
"Distance is a scalar, while displacement is a vector.", "Ìjìnnà jẹ́ sẹ́kálà, nígbà tí ìfipò jẹ́ vẹ́kítọ̀.",
"Loamy soil is ideal for most crops.", "Ìlẹ̀-lómù ni ó dára jù fún ọ̀pọ̀ irúgbìn.",
"The cell wall gives structure to plants.", "Ògiri sẹ́ẹ̀lì ń pèsè ìrànlọ́wọ́ fún ewéko.",
"Protons are positively charged subatomic particles.", "Pùrótónì jẹ́ apá nǹkan tí ó ní ẹ̀sùn rere.",
"Proper crop spacing prevents overcrowding.", "Ìyọ̀ọ̀da-irúgbìn ń dènà ìpọ̀-jù nínú oko.",
"Kinetic energy is half mass times velocity squared.", "Agbára ìsúnni ni ìdajì ìwọ̀n ara tísì ìyára kánkán láìjẹ́ méjì.",
"A prime number has only two factors.", "Nọ́mbà ọ̀tọ̀ ní onípín méjì nìkan.",
"Greenhouse gases trap heat in the atmosphere.", "Gáàsì oní-gbà-ooru ń mú kí ooru dúró nínú afẹ́fẹ́.",
"Vaccination schedules are critical for livestock.", "Ìwé-ìtẹ̀jú-àìsàn ṣe pàtàkì fún ẹran-ọ̀sìn.",
"Periods in the periodic table represent electron shells.", "Pẹ́ríọ̀dù nínú tábìlì ìtẹ̀lé-ìwọ̀n ń dúró fún ìpele ẹ̀lékítírónì."
"Standard deviation measures the spread of data points.", "Ìyapa-ìtẹ̀lé ń wọ̀n bí àwọn ìsọfúnni ṣe tàn kálẹ̀.",
"Valence electrons are in the outermost shell.", "Ẹ̀lékítírónì fẹ́lẹ́nsì wà ní ìpele tí ó wà lókè jù.",
"Photosynthesis produces glucose and oxygen.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń pèsè gúlúkóòsì àti ọ̀sìgíìì.",
"Farm implements are tools used for cultivation.", "Irin-iṣẹ́-ọ̀gbìn ni àwọn irinṣẹ́ tí a ń lò fún ìdágìrì.",
"Kinetic energy is the energy of motion.", "Agbára ìsúnni ni agbára ìrìn.",
"A balanced equation has equal atoms on both sides.", "Ìdọ́gba ìṣirò ní iye átọ́mù tí ó dọ́gba ní ẹ̀gbẹ́ méjèèjì.",
"Trophic levels describe the feeding positions in an ecosystem.", "Ìpele oúnjẹ ń ṣàlàyé ipò jíjẹ nínú ètò ìgbé-ayé.",
"The tangent function relates the angle to side lengths.", "Ìṣiṣẹ́ tànjẹ́ǹtì ń so igun pọ̀ pẹ̀lú ìwọ̀n ẹ̀gbẹ́.",
"Radioactive decay is the process of losing energy.", "Ìbàjẹ́ radíò ni ìlànà pípàdánù agbára.",
"Soil fertility determines crop productivity.", "Ìlera ilẹ̀ ń pinnu ìkórè irúgbìn.",
"Ohm's Law states that current is proportional to voltage.", "Òfin Ohm sọ pé kọ́ọ̀ǹtì dọ́gba pẹ̀lú wọ́ọ̀tájì.",
"Gene expression turns DNA instructions into proteins.", "Ìfihàn jíìnì ń sọ ìlànà DNA di prótììnù.",
"An ellipse is a flattened circle.", "Ẹ́lípììsì jẹ́ síríkì tí ó tẹ̀ wá.",
"A catalyst lowers the activation energy of a reaction.", "Kátálísì ń dín agbára ìṣiṣẹ́ kù.",
"Cross-pollination occurs between different plants.", "Ìfọ̀tẹ̀ṣọ́-irúgbìn ń ṣẹlẹ̀ láàárín àwọn ewéko tí ó yàtọ̀.",
"Electric potential is the work done to move a charge.", "Ìwọ̀n agbára ẹ̀lékítíríkì ni iṣẹ́ tí a ṣìṣẹ́ láti gbé ẹ̀sùn.",
"Cellular respiration provides energy to the cell.", "Ìmí-kúrò sẹ́ẹ̀lì ń pèsè agbára fún sẹ́ẹ̀lì.",
"Surface tension is the elastic tendency of a liquid.", "Ìfà-lórí-omi ni agbára tí ó ń mú kí omi dúró ṣinṣin.",
"Heredity is the passing of traits from parents to offspring.", "Ìjogún ni kíkọjá ànímọ́ láti ọ̀dọ̀ àwọn òbí lọ sí àwọn ọmọ.",
"A soil profile shows the distinct layers of soil.", "Ìwé-ìròyìn ilẹ̀ ń fi àwọn ìpele ilẹ̀ hàn."
"Polynomials are expressions with variables raised to non-negative integer powers.", "Pólínómíìlù ni ìṣirò tí ó ní fẹ́ríábùlù tí ó ní agbára nọ́mbà gbogbo.",
"Meiosis creates four genetically different daughter cells.", "Mẹ́íósì ń mú sẹ́ẹ̀lì ọmọ mẹ́rin tí ó yàtọ̀ nínú jẹ́nétììkì wá.",
"Exothermic reactions release energy to the surroundings.", "Ìṣiṣẹ́ kẹ́míkà tí ó ń tú agbára jáde sínú àyíká.",
"Soil structure affects root penetration.", "Ìrísí ilẹ̀ ń kan bí gbòngbò yóò ṣe wọ inú ilẹ̀.",
"A parallel circuit has multiple paths for current.", "Kọ́ọ̀kì ẹ̀lékítíríkì tí ó rìn pọ̀ ní ọ̀nà púpọ̀ fún kọ́ọ̀ǹtì.",
"A circle's diameter passes through the center.", "Ìlà-àárín síríkì ń kọjá ní ibùdó.",
"RNA is essential for protein synthesis.", "RNA ṣe pàtàkì fún ṣíṣé prótììnù.",
"Work is the scalar product of force and displacement.", "Iṣẹ́ ni ìdapọ̀ sẹ́kálà agbára àti àyípadà ìfipò.",
"Alkanes are saturated hydrocarbons.", "Álkẹ́ẹ́ǹì jẹ́ háídíròkábọ̀nì tí ó kún.",
"Poultry feed must be balanced in nutrients.", "Oúnjẹ ẹyẹ gbọ́dọ̀ ní oúnjẹ dídọ́gba nínú.",
"A slope of zero means the line is horizontal.", "Ìtẹ̀wọ̀n tí ó jẹ́ odo túmọ̀ sí pé ìlà náà dùbúlẹ̀.",
"Frequency is measured in Hertz.", "Ìgbà-ìrìn ni a ń wọ̀n ní Hẹ́ẹ́rìtì.",
"Genotype plus environment equals phenotype.", "Jẹ́nótáìpù pẹ̀lú àyíká dọ́gba pẹ̀lú fẹ́ríótáìpù.",
"Valency is the combining power of atoms.", "Fẹ́lẹ́nsì ni agbára ìdàpọ̀ àwọn átọ́mù.",
"Irrigation systems prevent crop failure during drought.", "Ètò ìtọ́jú-omi ń dènà ìkùnà irúgbìn nígbà àìjò.",
"Momentum is the product of mass and velocity.", "Ìṣiṣẹ́-agbára ni ìdapọ̀ ìwọ̀n ara àti ìyára.",
"A rectangle has opposite sides that are equal.", "Rẹ́kítàngùlù ní ẹ̀gbẹ́ tí ó kọjú sí ara wọn tí ó dọ́gba.",
